singer;singer_link;category;category_link;music_name;music_link;lyrics;is_pt;transformed;reduce;len
Alexandre Peixe;/alexandre-peixe/;Axé;/browse/style/axe.html;Minas Não Tem Mar;/alexandre-peixe/minas-nao-tem-mar.html;"<div data-plugin=""googleTranslate"" id=""lyrics"">Se dirigir, não beba!<br/>Mas se for beber, me chame meu irmão<br/><br/>Saia da rotina,<br/>Então caia na folia<br/>Tem festa, festa!<br/><br/>Hoje a noite tá bombando<br/>Mulherada desfilando<br/>Eu quero festa, festa<br/><br/>Todo santo dia<br/>É a mesma agonia<br/>Vou te dizer<br/>Fazer o que?<br/><br/>O celular tá ocupado<br/>O povo estressado<br/>Sabe o que vou fazer?<br/><br/>Já que minas não tem mar<br/>Eu vou pro bar<br/>Já que minas não tem mar<br/>Eu vou pro bar<br/>Já que minas não tem mar<br/>Eu vou tomar todas no bar!!<br/><br/>Já que minas não tem mar<br/>Eu vou pro bar<br/>Já que minas não tem mar<br/>Eu vou pro bar<br/>Já que minas não tem mar<br/>Eu vou tomar todas no bar!!<br/><br/>Saia da rotina,<br/>Então caia na folia<br/>Tem festa, festa!<br/><br/>Hoje a noite tá bombando<br/>Mulherada desfilando<br/>Eu quero festa, festa<br/><br/>Todo santo dia<br/>É a mesma agonia<br/>Vou te dizer<br/>Fazer o que?<br/><br/>O celular tá ocupado<br/>O povo estressado<br/>Sabe o que vou fazer?<br/><br/>Já que minas não tem mar<br/>Eu vou pro bar<br/>Já que minas não tem mar<br/>Eu vou pro bar<br/>Já que minas não tem mar<br/>Eu vou tomar todas no bar!!<br/><br/>Já que minas não tem mar<br/>Eu vou pro bar<br/>Já que minas não tem mar<br/>Eu vou pro bar<br/>Já que minas não tem mar<br/>Eu vou tomar todas no bar!!<br/><br/>Procurando alguém para amar<br/>Sentado na mesa de um bar<br/>Falando de loucuras e paixão<br/>Se o rio corre para o mar<br/>Eu quero um dia te encontrar<br/>Você não sabe o quanto eu te esperei<br/><br/>Já que minas não tem mar<br/>Eu vou pro bar<br/>Já que minas não tem mar<br/>Eu vou pro bar<br/>Já que minas não tem mar<br/>Eu vou tomar todas no bar!!<br/><br/>Já que minas não tem mar<br/>Eu vou pro bar<br/>Já que minas não tem mar<br/>Eu vou pro bar<br/>Já que minas não tem mar<br/>Eu vou tomar todas no bar!!<br/><br/>Procurando alguém para amar<br/>Sentado na mesa de um bar<br/>Falando de loucuras e paixões<br/>Se o rio corre para o mar<br/>Eu quero um dia te encontrar<br/>Você não sabe o quanto eu te esperei<br/><br/>Já que minas não tem mar<br/>Eu vou pro bar<br/>Já que minas não tem mar<br/>Eu vou pro bar<br/>Já que minas não tem mar<br/>Eu vou tomar todas no bar!!<br/><br/>Já que minas não tem mar<br/>Eu vou pro bar<br/>Já que minas não tem mar<br/>Eu vou pro bar<br/>Já que minas não tem mar<br/>Eu vou tomar todas no bar!!</div>";;dirigir beba beber chame irmao saia rotina caia folia festa festa hoje noite ta bombando mulherada desfilando festa festa santo dia mesma agonia celular ta ocupado estressado minas mar bar minas mar bar minas mar tomar bar minas mar bar minas mar bar minas mar tomar bar saia rotina caia folia festa festa hoje noite ta bombando mulherada desfilando festa festa santo dia mesma agonia celular ta ocupado estressado minas mar bar minas mar bar minas mar tomar bar minas mar bar minas mar bar minas mar tomar bar procurando alguem amar sentado mesa bar falando loucuras paixao rio corre mar dia encontrar esperei minas mar bar minas mar bar minas mar tomar bar minas mar bar minas mar bar minas mar tomar bar procurando alguem amar sentado mesa bar falando loucuras paixoes rio corre mar dia encontrar esperei minas mar bar minas mar bar minas mar tomar bar minas mar bar minas mar bar minas mar tomar bar;dirigir beba beber chame irmao saia rotina caia folia festa hoje noite ta bombando mulherada desfilando santo dia mesma agonia celular ocupado estressado minas mar bar tomar procurando alguem amar sentado mesa falando loucuras paixao rio corre encontrar esperei paixoes;269
Alexandre Peixe;/alexandre-peixe/;Axé;/browse/style/axe.html;Chegou Ao Fim;/alexandre-peixe/chegou-ao-fim.html;"<div data-plugin=""googleTranslate"" id=""lyrics"">Eu andei pensando em nós dois<br/>Já não sei quem sou diante do espelho<br/>Eu tentei deixar para depois<br/>Mas o tempo não manda nem o conselho<br/>Vai me deixar, com lágrima nos olhos<br/>Vai me dizer, que não faz mais sentido<br/>A vida não é faz de conta<br/>Vou te dizer<br/>Foi tudo tão incrível, vou lembrar de você<br/>Mas quem manda é o coração, e o coração é<br/>imprevisível<br/><br/>Acabou, terminou, chegou ao fim, chegou ao fim<br/>Nem tudo na vida é pra sempre<br/>Acabou, terminou, chegou ao fim, chegou ao fim<br/>Nem tudo na vida é pra sempre<br/><br/>Eu não quero tristeza em seu rosto<br/>Sempre vou me lembrar de você<br/>Se o tempo mudou nossos passos<br/>É preciso entender</div>";;andei pensando espelho deixar manda deixar lagrima olhos sentido vida conta incrivel lembrar manda coracao coracao imprevisivel acabou terminou chegou chegou vida acabou terminou chegou chegou vida tristeza rosto lembrar mudou passos preciso entender;andei pensando espelho deixar manda lagrima olhos sentido vida conta incrivel lembrar coracao imprevisivel acabou terminou chegou tristeza rosto mudou passos preciso entender;174
Alexandre Peixe;/alexandre-peixe/;Axé;/browse/style/axe.html;Tô Na Pista;/alexandre-peixe/to-na-pista.html;"<div data-plugin=""googleTranslate"" id=""lyrics"">Uô, uô, uôo, uôooo<br/><br/>Hoje nossa night promete<br/>Tô de boa na madrugada<br/>Pode preparar o confete<br/>Eu vou me jogar, fazer farra (2x)<br/><br/>Aperte o play, baby<br/>Anyway tem rave, pop, reagge, micareta<br/>Se tem open bar pode me chamar<br/>Eu quero essa batida na cabeça<br/><br/>Pode preparar a bebida<br/>Ninguém é de ninguém, tô na pista<br/><br/>Eu vou pra noitada, vou pro tudo ou nada<br/>Eu vou tomar todas, beijar muito<br/>Eu vou pra noitada, vou pro tudo ou nada<br/>Eu vou tomar todas, beijar muito</div>";;uo uo uoo uoooo hoje night promete to madrugada preparar confete jogar farra aperte play baby anyway rave pop reagge micareta open bar chamar batida cabeca preparar bebida ninguem ninguem to pista noitada tomar beijar noitada tomar beijar;uo uoo uoooo hoje night promete to madrugada preparar confete jogar farra aperte play baby anyway rave pop reagge micareta open bar chamar batida cabeca bebida ninguem pista noitada tomar beijar;194
Alexandre Peixe;/alexandre-peixe/;Axé;/browse/style/axe.html;Eu Sou Mais Você;/alexandre-peixe/eu-sou-mais-voce.html;"<div data-plugin=""googleTranslate"" id=""lyrics"">Eu sou mais você<br/><br/>Não quero ficar tentando dizer<br/>Você não sai da minha cabeça<br/>É só me escutar<br/>Você vai me entender<br/>Não deixe que o ciúme enlouqueça você (2x)<br/><br/>Não faz assim comigo<br/>Não vê que ta na cara<br/>Tão fácil de perceber<br/>Só vou se for contigo<br/>Vou pra qualquer lugar<br/>Meus olhos só tem olhos pra você<br/><br/>Cicarelli, Juliana Paes, Cléo Pires, Beyoncé<br/>Eu sou mais você<br/>Gisele Bundchen, Shakira, Grazi, Galisteu, Luiza Brunet<br/>Eu sou mais você (2x)<br/><br/><br/>Não quero ficar tentando dizer<br/>Você não sai da minha cabeça<br/>É só me escutar<br/>Você vai me entender<br/>Não deixe que o ciúme enlouqueça você<br/><br/><br/>Não faz assim comigo<br/>Não vê que ta na cara<br/>Tão fácil de perceber<br/>Só vou se for contigo<br/>Vou pra qualquer lugar<br/>Meus olhos só têm olhos pra você<br/><br/><br/><br/>Cicarelli, Juliana Paes, Cléo Pires, Beyoncé<br/>Eu sou mais você<br/>Gisele Bundchen, Shakira, Grazi, Galisteu, Luiza Brunet<br/>Eu sou mais você (2x)</div>";;ficar tentando sai cabeca escutar entender deixe ciume enlouqueca comigo ve ta cara facil perceber contigo olhos olhos cicarelli juliana paes cleo pires beyonce gisele bundchen shakira grazi galisteu luiza brunet ficar tentando sai cabeca escutar entender deixe ciume enlouqueca comigo ve ta cara facil perceber contigo olhos olhos cicarelli juliana paes cleo pires beyonce gisele bundchen shakira grazi galisteu luiza brunet x;ficar tentando sai cabeca escutar entender deixe ciume enlouqueca comigo ve ta cara facil perceber contigo olhos cicarelli juliana paes cleo pires beyonce gisele bundchen shakira grazi galisteu luiza brunet x;208
Alexandre Peixe;/alexandre-peixe/;Axé;/browse/style/axe.html;Lembra da Gente;/alexandre-peixe/lembra-da-gente.html;"<div data-plugin=""googleTranslate"" id=""lyrics"">Como posso esquecer<br/>Se você me mudou<br/>Balançou, invadiu... minha vida?<br/><br/>Não é fácil pensar<br/>Que é tão fácil acabar<br/>Com um beijo e um tchau<br/>Na saída<br/><br/>E eu sempre imaginei nossa história diferente<br/>Ter começo, baby, não ter fim<br/>Não tá dando pra seguir, nem tampouco imaginar você sem mim...<br/><br/>Ainda sei te dizer a cor da calça que você usou<br/>No verão passado<br/>Não me pergunte por que...<br/>Não me condene por ter errado...<br/><br/>Quando alguém perguntar se você foi feliz...<br/>Lembra da gente!<br/>E se for desistir lembra de mim,<br/>Lembra pra sempre...<br/><br/>Quando alguém perguntar se você foi feliz...<br/>Lembra da gente!<br/>E se for desistir lembra de mim,<br/>Lembra pra sempre...<br/><br/>Pra sempre!<br/><br/>E eu sempre imaginei nossa história diferente<br/>Ter começo, baby, não ter fim<br/>Não tá dando pra seguir, nem tampouco imaginar você sem mim...<br/><br/>Ainda sei te dizer a cor da calça que você usou<br/>No verão passado<br/>Não me pergunte por que...<br/>Não me condene por ter errado...<br/><br/>Quando alguém perguntar se você foi feliz...<br/>Lembra da gente!<br/>E se for desistir lembra de mim,<br/>Lembra pra sempre...<br/><br/>Quando alguém perguntar se você foi feliz...<br/>Lembra da gente!<br/>E se for desistir lembra de mim,<br/>Lembra pra sempre...<br/><br/>Pra sempre!<br/><br/>Os seus olhos vão dizer<br/>O que tá dentro do seu coração...<br/>Não adianta esconder<br/>É mais forte que você...<br/>É paixão!<br/><br/>Quando alguém perguntar se você foi feliz...<br/>Lembra da gente!<br/>E se for desistir lembra de mim,<br/>Lembra pra sempre...</div>";;esquecer mudou balancou invadiu vida facil pensar facil acabar beijo tchau saida imaginei historia diferente comeco baby ta dando seguir tampouco imaginar mim cor calca usou verao passado pergunte condene errado alguem perguntar feliz lembra gente desistir lembra mim lembra alguem perguntar feliz lembra gente desistir lembra mim lembra imaginei historia diferente comeco baby ta dando seguir tampouco imaginar mim cor calca usou verao passado pergunte condene errado alguem perguntar feliz lembra gente desistir lembra mim lembra alguem perguntar feliz lembra gente desistir lembra mim lembra olhos ta coracao adianta esconder forte paixao alguem perguntar feliz lembra gente desistir lembra mim lembra;esquecer mudou balancou invadiu vida facil pensar acabar beijo tchau saida imaginei historia diferente comeco baby ta dando seguir tampouco imaginar mim cor calca usou verao passado pergunte condene errado alguem perguntar feliz lembra gente desistir olhos coracao adianta esconder forte paixao;294
Alexandre Peixe;/alexandre-peixe/;Axé;/browse/style/axe.html;Ela É Total Flex;/alexandre-peixe/ela-e-total-flex.html;"<div data-plugin=""googleTranslate"" id=""lyrics"">Ela se acha<br/>O último biscoito do pacote<br/>A bala que matou j. Kennedy<br/>A última coca do deserto<br/><br/>Tá de pirraça<br/>Dando um selinho na menina<br/>Sempre se sentindo beautiful<br/>So sexy, sexy no sex appeal<br/><br/>Ela é boa demais<br/>E faz coisa que Deus duvida<br/>Perfeitinha demais<br/>Por essa mulher eu largo a pista<br/><br/>Ela é total flex<br/>Mas eu tô relax<br/>Ela aceita álcool e gasolina<br/>Pega geral, menino e menina<br/><br/>Ela pira o meu cabeção<br/>E confunde o meu coração<br/>Mas por ela eu topo essa viagem</div>";;acha biscoito pacote bala matou kennedy ultima coca deserto ta pirraca dando selinho menina sentindo beautiful sexy sexy sex appeal deus duvida perfeitinha mulher largo pista total flex to relax aceita alcool gasolina pega menino menina pira cabecao confunde coracao topo viagem;acha biscoito pacote bala matou kennedy ultima coca deserto ta pirraca dando selinho menina sentindo beautiful sexy sex appeal deus duvida perfeitinha mulher largo pista total flex to relax aceita alcool gasolina pega menino pira cabecao confunde coracao topo viagem;266
Alexandre Peixe;/alexandre-peixe/;Axé;/browse/style/axe.html;100% Você / Voa Voa;/alexandre-peixe/100-voce-voa-voa.html;"<div data-plugin=""googleTranslate"" id=""lyrics"">Um céu sem estrelas, uma praia sem mar<br/>Amor sem carinho, romance sem par<br/>Carnaval sem festa, um jardim sem flor<br/>É assim que eu me sinto longe do seu amor<br/>Como enganar um coração tão ligado nesse amor<br/>Como viver a minha vida sem teu jeito sedutor<br/>Não dá mais pra segurar<br/>Tô viciado em você<br/><br/>Não dá... Não dá... Pra ficar... Pra ficar sem te ver<br/>Já estou ficando louco<br/>Não dá... Não dá... Pra ficar... Pra ficar sem te ver<br/>Sou 100% você!<br/><br/>Lê Lê Lê Lê Lê Lê Lê Lê<br/>Lê Lê Lê Lê Lê Lê Lê Lê<br/><br/>Estrada sem rumo, saudade sem dor<br/>TV sem novela, arco-íris sem cor<br/>Chiclete sem Nana, verão sem calor<br/>É assim que eu me sinto longe do seu amor<br/>Como enganar um coração tão ligado nesse amor<br/>Como viver a minha vida sem teu jeito sedutor<br/>Não dá mais pra segurar<br/>Tô viciado em você<br/><br/>Não dá...Não dá...Pra ficar... Pra ficar sem te ver<br/>Já estou ficando louco<br/>Não dá...Não dá...Pra ficar...Pra ficar sem te ver<br/>Sou 100% você!<br/><br/>Lê Lê Lê Lê Lê Lê Lê Lê<br/>Lê Lê Lê Lê Lê Lê Lê Lê<br/><br/>--------------<br/><br/>Amor... Que saudade de você...<br/>Vem me ensina a perceber,<br/>Os segredos desse amor<br/><br/>Pequena... Eu quero tanto te dizer...<br/>Que eu não vivo sem você, um segundo. É você quem faz<br/>virar...<br/>Meu mundo!<br/><br/>Bota fogo na minha vida<br/>Pra'quecer meu coração...<br/>Já não temos mais saída, não me diga não.<br/><br/>Pra ficar tudo perfeito,<br/>Vem viver essa paixão...<br/>Uma andorinha só, não faz verão.<br/><br/>Voa, Voa,<br/>Vem direto pros meus braços...<br/>Quero ter os seus amassos,<br/>Vem voando pra me ver.<br/><br/>Voa, Voa,<br/>Vem voando pro seu ninho...<br/>Pois ninguém vive sozinho.<br/>Eu não vivo sem você.<br/><br/>Pá... êo para ra ra ra ra ra êo (x3)<br/><br/>Bota fogo na minha vida<br/>Pra'quecer meu coração...<br/>Já não temos mais saída, não me diga não.<br/><br/>Pra ficar tudo perfeito,<br/>Vem viver essa paixão...<br/>Uma andorinha só, não faz verão.<br/><br/>Voa, Voa,<br/>Vem direto pros meus braços...<br/>Quero ter os seus amassos,<br/>Vem voando pra me ver.<br/><br/>Voa, Voa,<br/>Vem voando pro seu ninho...<br/>Pois ninguém vive sozinho.<br/>Eu não vivo sem você.<br/><br/>Pá... êo para ra ra ra ra ra êo (x4)<br/><br/>Hmm...</div>";;ceu estrelas praia mar amor carinho romance par carnaval festa jardim flor sinto amor enganar coracao amor viver vida jeito sedutor segurar to viciado ficar ficar ficando louco ficar ficar le le le le le le le le le le le le le le le le estrada rumo saudade dor tv novela arcoiris cor chiclete nana verao calor sinto amor enganar coracao amor viver vida jeito sedutor segurar to viciado danao dapra ficar ficar ficando louco danao dapra ficarpra ficar le le le le le le le le le le le le le le le le amor saudade ensina perceber segredos amor pequena vivo virar mundo bota fogo vida praquecer coracao saida diga ficar perfeito viver paixao andorinha verao voa voa direto pros bracos amassos voando voa voa voando ninho ninguem vive sozinho vivo pa eo ra ra ra ra ra eo bota fogo vida praquecer coracao saida diga ficar perfeito viver paixao andorinha verao voa voa direto pros bracos amassos voando voa voa voando ninho ninguem vive sozinho vivo pa eo ra ra ra ra ra eo hmm;ceu estrelas praia mar amor carinho romance par carnaval festa jardim flor sinto enganar coracao viver vida jeito sedutor segurar to viciado ficar ficando louco le estrada rumo saudade dor tv novela arcoiris cor chiclete nana verao calor danao dapra ficarpra ensina perceber segredos pequena vivo virar mundo bota fogo praquecer saida diga perfeito paixao andorinha voa direto pros bracos amassos voando ninho ninguem vive sozinho pa eo ra hmm;443
Alexandre Peixe;/alexandre-peixe/;Axé;/browse/style/axe.html;Eu Juro;/alexandre-peixe/eu-juro.html;"<div data-plugin=""googleTranslate"" id=""lyrics"">Olhos nos olhos, e a certeza de uma vida assim no lado teu<br/>Um sentimento, que faz meu mundo revirar, você não percebeu<br/>Tudo fica mais bonito quando você vem<br/>A nossa quimica é perfeita não tem pra ninguém<br/>A gente ri a gente chora a gente faz amor<br/>E dei um quadro e um pincel e Deus te desenhou<br/>Joga seu charme vem, eu quero tudo contigo éé<br/>Se você não vem, meu mundo corre perigo<br/>Eu não vivo.<br/><br/>Eu juro<br/>Toda vida eu vou te amar<br/>Em cada momento serei completamente seu<br/>Eu juro<br/>Toda vida eu vou te amar<br/>Em cada pensamento levarei o seu olhar (2x)<br/><br/>Tempestade terremoto ou tsunami ohoh<br/>Nada no mundo vai nos separar ou impedir que eu te ame<br/><br/>Eu juro, eu juro o o o o o<br/>Eu juro, eu juro...chega mais jorge e mateus<br/><br/>Olhos nos olhos, e a certeza de uma vida assim no lado teu<br/>Um sentimento, que faz meu mundo revirar, você não percebeu<br/>Tudo fica mais bonito quando você vem<br/>A nossa quimica é perfeita não tem pra ninguém<br/>A gente ri a gente chora a gente faz amor<br/>E dei um quadro e um pincel e deus te desenhou<br/>Joga seu charme vem, eu quero tudo contigo....contigo<br/>Se você não vem, meu mundo corre perigo<br/>Eu não vivo.<br/><br/>Eu juro<br/>Por toda vida eu vou te amar<br/>Em cada momento serei completamente seu<br/>Eu juro<br/>Por toda vida eu vou te amar<br/>Em cada pensamento levarei o seu olhar (2x)<br/><br/>Tempestade terremoto ou tsunami ohoh<br/>Nada no mundo vai nos separar ou impedir que eu te ame<br/><br/>Eu juro, eu juro o o o o o<br/>Eu juro, eu juro é é é<br/>Eu juro, eu juro ohhh</div>";;olhos olhos vida sentimento mundo revirar percebeu fica bonito quimica perfeita ninguem gente ri gente chora gente amor dei quadro pincel deus desenhou joga charme contigo ee mundo corre perigo vivo juro vida amar completamente juro vida amar pensamento levarei olhar tempestade terremoto tsunami ohoh mundo separar impedir ame juro juro juro jurochega jorge mateus olhos olhos vida sentimento mundo revirar percebeu fica bonito quimica perfeita ninguem gente ri gente chora gente amor dei quadro pincel deus desenhou joga charme contigocontigo mundo corre perigo vivo juro vida amar completamente juro vida amar pensamento levarei olhar tempestade terremoto tsunami ohoh mundo separar impedir ame juro juro juro juro juro juro ohhh;olhos vida sentimento mundo revirar percebeu fica bonito quimica perfeita ninguem gente ri chora amor dei quadro pincel deus desenhou joga charme contigo ee corre perigo vivo juro amar completamente pensamento levarei olhar tempestade terremoto tsunami ohoh separar impedir ame jurochega jorge mateus contigocontigo ohhh;320
Alexandre Peixe;/alexandre-peixe/;Axé;/browse/style/axe.html;Não Vale A Pena Te Esquecer;/alexandre-peixe/nao-vale-a-pena-te-esquecer.html;"<div data-plugin=""googleTranslate"" id=""lyrics"">Ô Ô Ô, Ô Ô...Chá na na na na!<br/>Ô Ô Ô, Ô Ô...Chá na na na na!<br/><br/>Sei lá me diga...<br/>O que é que faço da minha vida sem você?<br/>Vem cá me ensina...<br/>A fazer passar o tempo sem pensar no nosso amor,<br/>Responda por favor,<br/>E Não me deixe assim de cara<br/><br/>Sei lá me diga...<br/>Quando você vai embora eu fico assim,<br/>Vem cá me ensina...<br/>Muita onda é viver longe desse carinho teu,<br/>Seu corpo junto ao meu,<br/>Não vou perder você por nada<br/><br/><br/>Basta olhar a sua foto que a saudade aumenta,<br/>Tô sofrendo tanto com a tua ausência,<br/>Sem você por perto o que será de mim?<br/><br/><br/>Não vale a pena te esquecer,<br/>meu coração só quer você,<br/>Já não suporto mais viver, distante desse amor,<br/>distante desse amor...<br/>Eu quero tanto te falar,<br/>sem o teu colo amor não dá,<br/>Já não consigo esconder,<br/>Preciso de você!<br/><br/>Sei lá me diga...<br/>Quando você vai embora eu fico assim,<br/>Vem cá me ensina...<br/>Muita onda é viver longe desse carinho teu,<br/>Seu corpo junto ao meu,<br/>Não vou perder você por nada<br/><br/>Basta olhar a sua foto que a saudade aumenta,<br/>Tô sofrendo tanto com a tua ausência,<br/>Sem você por perto o que será de mim?<br/><br/><br/>Não vale a pena te esquecer,<br/>meu coração só quer você,<br/>Já não suporto mais viver, distante desse amor<br/>distante desse amor..<br/>Eu quero tanto te falar,<br/>sem o teu colo amor não dá,<br/>Já não consigo esconder,<br/>Preciso de você!<br/>(2x)<br/><br/>Ô Ô Ô, Ô Ô..Chá na na na na!<br/>Ô Ô Ô, Ô Ô..Chá na na na na!</div>";;ocha ocha diga vida ensina passar pensar amor responda deixe cara diga fico ensina muita onda viver carinho corpo junto perder basta olhar foto saudade aumenta to sofrendo ausencia mim vale pena esquecer coracao suporto viver distante amor distante amor falar colo amor consigo esconder preciso diga fico ensina muita onda viver carinho corpo junto perder basta olhar foto saudade aumenta to sofrendo ausencia mim vale pena esquecer coracao suporto viver distante amor distante amor falar colo amor consigo esconder preciso ocha ocha;ocha diga vida ensina passar pensar amor responda deixe cara fico muita onda viver carinho corpo junto perder basta olhar foto saudade aumenta to sofrendo ausencia mim vale pena esquecer coracao suporto distante falar colo consigo esconder preciso;247
Alexandre Peixe;/alexandre-peixe/;Axé;/browse/style/axe.html;Cadê Tereza?;/alexandre-peixe/cade-tereza.html;"<div data-plugin=""googleTranslate"" id=""lyrics"">Ela tem um jeito sensual<br/>Me deixa fora do ar<br/>Perco o juizo<br/>Jogando charme ela é fenomenal<br/>Ganhar seu amor é tudo que eu preciso<br/><br/>Na pocinha da praia<br/>De longe ela sorriu pra mim<br/>Tomei coragem e fui ao encontro dela<br/>Fiquei parada na rua , com tanta beleza<br/>""Agente se bate mais tarde , meu nome é Tereza""<br/><br/>Pode Até chuver<br/>(não desisto de te ver)<br/>Pode trovejar<br/>(que eu vou te procurar)<br/>Mas cadê você ?<br/>(eu não durmo sem você)<br/>Eu Preciso te encontrar<br/><br/>Cadê , Cadê , Cadê , Cadê<br/>Cadê Tereza?<br/>Cadê , Cadê , Cadê , Cadê<br/>Cadê Tereza?</div>";;jeito sensual deixa ar perco juizo jogando charme fenomenal ganhar amor preciso pocinha praia sorriu mim tomei coragem encontro fiquei parada rua beleza agente bate nome tereza chuver desisto trovejar procurar cade durmo preciso encontrar cade cade cade cade cade tereza cade cade cade cade cade tereza;jeito sensual deixa ar perco juizo jogando charme fenomenal ganhar amor preciso pocinha praia sorriu mim tomei coragem encontro fiquei parada rua beleza agente bate nome tereza chuver desisto trovejar procurar cade durmo encontrar;230
Alexandre Peixe;/alexandre-peixe/;Axé;/browse/style/axe.html;Prefíxo de Verão E Bainidade Nagô;/alexandre-peixe/prefixo-de-verao-e-bainidade-nago.html;"<div data-plugin=""googleTranslate"" id=""lyrics"">Ae, ae, ae, ae<br/>Ei, ei, ei, ei<br/>Oô, oô, oô, oô, oô, oô, o<br/><br/>Quando você chegar<br/>Quando você chegar<br/>Quando você chegar<br/>Numa nova estação<br/>Te espero no verão<br/><br/>Salve, Salvador<br/>Me bato, me quebro tudo por amor<br/>Eu sou do Pelô<br/>O negro é raça é fruto do amor<br/>Salve, Salvador<br/>Me bato, me quebro tudo por amor<br/>Eu sou do Pelô<br/><br/>Ae, ae, ae, ae<br/>Ei, ei, ei, ei<br/>Oô, oô, oô, oô, oô, oô, o<br/><br/>Ae, ae, ae, ae<br/>Ei, ei, ei, ei<br/>Oô, oô, oo<br/><br/><br/>Já pintou verão<br/>Calor no coração<br/>A festa vai começar<br/>Salvador se agita<br/>Numa só alegria<br/>Eternos Dodô e Osmar<br/><br/>Na avenida Sete<br/>Da paz eu sou tiete<br/>Na barra o Farol a brilhar<br/>Carnaval na Bahia<br/>Oitava maravilha<br/>Nunca irei te deixar, meu amor<br/>Eu vou<br/>Atrás do trio elétrico vou<br/>Dançar ao negro toque do agogô<br/>Curtindo minha baianidade nagô ô ô ô ô<br/><br/>Eu queria<br/>Que essa fantasia fosse eterna<br/>Quem sabe um dia<br/>A Paz vence a guerra<br/>E viver será só festejar</div>";;ae ae ae ae ei ei ei ei oo oo oo oo oo oo chegar chegar chegar estacao espero verao salve salvador bato quebro amor negro raca fruto amor salve salvador bato quebro amor ae ae ae ae ei ei ei ei oo oo oo oo oo oo ae ae ae ae ei ei ei ei oo oo oo pintou verao calor coracao festa comecar salvador agita alegria eternos dodo osmar avenida paz tiete barra farol brilhar carnaval bahia maravilha irei deixar amor trio eletrico dancar negro toque agogo curtindo baianidade nago queria fantasia eterna dia paz vence guerra viver festejar;ae ei oo chegar estacao espero verao salve salvador bato quebro amor negro raca fruto pintou calor coracao festa comecar agita alegria eternos dodo osmar avenida paz tiete barra farol brilhar carnaval bahia maravilha irei deixar trio eletrico dancar toque agogo curtindo baianidade nago queria fantasia eterna dia vence guerra viver festejar;341
Alexandre Peixe;/alexandre-peixe/;Axé;/browse/style/axe.html;Dormir de Conchinha;/alexandre-peixe/dormir-de-conchinha.html;"<div data-plugin=""googleTranslate"" id=""lyrics"">Foi amor a primeira vista<br/>Congelei, beco sem saída<br/>Já sabia que naquele dia<br/>Minha vida seria outra onda<br/><br/>Disfarcei, fiz minha novela<br/>Me entreguei, o olhar revela<br/>Tudo aquilo que o coração tenta guardar em segredo<br/>Com medo de amar<br/><br/>E aquele sorriso estampado no meu pensamento<br/>Fez parar o tempo, mudou tudo em mim<br/>Se cada um tem seu par<br/>Não nego, não dá pra esconder<br/>Já descobri, meu número é você<br/><br/>Vem minha inha<br/>Eu quero ao seu lado dormir de conchinha<br/>Colar de uma vez sua vida na minha<br/>Toma conta do meu coração<br/><br/>Vem minha inha<br/>Eu quero ao seu lado dormir de conchinha<br/>Colar de uma vez sua vida na minha<br/>Vem provar amor dessa paixão</div>";;amor vista congelei beco saida sabia dia vida onda disfarcei fiz novela entreguei olhar revela coracao tenta guardar segredo medo amar sorriso estampado pensamento parar mudou mim par nego esconder descobri inha dormir conchinha colar vida toma conta coracao inha dormir conchinha colar vida provar amor paixao;amor vista congelei beco saida sabia dia vida onda disfarcei fiz novela entreguei olhar revela coracao tenta guardar segredo medo amar sorriso estampado pensamento parar mudou mim par nego esconder descobri inha dormir conchinha colar toma conta provar paixao;259
Alexandre Peixe;/alexandre-peixe/;Axé;/browse/style/axe.html;O Que Tem Que Ser Será;/alexandre-peixe/o-que-tem-que-ser-sera.html;"<div data-plugin=""googleTranslate"" id=""lyrics"">Vamos sair pra algum lugar<br/>Quem sabe até dançar<br/>Na beira mar, a lua linda vai clarear<br/>Tomar um chopp, dialogar<br/>O que tem que ser será<br/>Não sei fingir<br/>Se meu olhar só falta falar<br/><br/>Você não sai do meu pensamento<br/>Esperei tanto por esse momento<br/>Meu coração é paciente e lento<br/>Mas se cansou<br/>E agora quer falar<br/><br/>(Refrão)<br/>Eu esperei hora, esperei dia, esperei mês, esperei ano<br/>Esperei tempo pra ficar com você<br/>Agora que está aqui comigo<br/>Por favor não vá embora<br/><br/>Veja, veja minhas mãos<br/>Está Suando sem saber se vai dizer sim ou não<br/>Ou não<br/>(2x)</div>";;vamos sair algum dancar beira mar lua linda clarear tomar chopp dialogar fingir olhar falar sai pensamento esperei coracao paciente lento cansou falar refrao esperei hora esperei dia esperei esperei ano esperei ficar comigo va maos suando x;vamos sair algum dancar beira mar lua linda clarear tomar chopp dialogar fingir olhar falar sai pensamento esperei coracao paciente lento cansou refrao hora dia ano ficar comigo va maos suando x;194
